scenario_id,aggregator_type,alignment,est_threshold,lst_threshold,max_group_size,baseline_cost,aggregated_cost,savings,scenario_time,NrOfFlexOffers
163,1,1,4,4,10,107.741,85.3938,22.3471,1.85265,100
164,1,1,4,4,10,218.517,174.1,44.4174,15.1073,200
165,1,1,4,4,50,11.6706,9.33651,2.33413,0.00245645,10
166,1,1,4,4,50,52.3165,40.7616,11.5548,0.235843,50
167,1,1,4,4,50,107.741,84.4164,23.3245,2.0778,100
168,1,1,4,4,50,218.517,173.248,45.2689,15.3608,200
169,1,1,6,6,5,11.6706,9.72064,1.95,0.00222629,10
170,1,1,6,6,5,52.3165,41.1856,11.1309,0.216537,50
171,1,1,6,6,5,107.741,85.7829,21.958,1.71728,100
172,1,1,6,6,5,218.517,174.329,44.1884,14.4015,200
173,1,1,6,6,10,11.6706,9.33651,2.33413,0.00224552,10
174,1,1,6,6,10,52.3165,40.9992,11.3173,0.224542,50
175,1,1,6,6,10,107.741,85.3938,22.3471,1.86961,100
176,1,1,6,6,10,218.517,174.1,44.4174,14.9341,200
177,1,1,6,6,50,11.6706,9.33651,2.33413,0.00220421,10
178,1,1,6,6,50,52.3165,41.2932,11.0233,0.234157,50
179,1,1,6,6,50,107.741,84.4164,23.3245,1.90668,100
180,1,1,6,6,50,218.517,173.248,45.2689,16.2055,200
181,1,2,2,2,5,11.6706,5.64648,6.02416,0.00219062,10
182,1,2,2,2,5,52.3165,41.3095,11.007,0.219054,50
183,1,2,2,2,5,107.741,86.1927,21.5482,1.73023,100
184,1,2,2,2,5,218.517,174.814,43.7035,14.932,200
185,1,2,2,2,10,11.6706,5.64648,6.02416,0.00224474,10
186,1,2,2,2,10,52.3165,41.3095,11.007,0.259298,50
187,1,2,2,2,10,107.741,86.0502,21.6907,1.88714,100
188,1,2,2,2,10,218.517,174.814,43.7035,14.9989,200
189,1,2,2,2,50,11.6706,5.64648,6.02416,0.00216523,10
190,1,2,2,2,50,52.3165,37.8392,14.4773,0.230324,50
191,1,2,2,2,50,107.741,69.5194,38.2215,1.86639,100
192,1,2,2,2,50,218.517,166.261,52.2565,15.2947,200
193,1,2,4,4,5,11.6706,5.64648,6.02416,0.00219818,10
194,1,2,4,4,5,52.3165,41.3095,11.007,0.22255,50
195,1,2,4,4,5,107.741,86.1927,21.5482,1.75521,100
196,1,2,4,4,5,218.517,174.814,43.7035,14.4522,200
197,1,2,4,4,10,11.6706,3.49881,8.17183,0.00225418,10
198,1,2,4,4,10,52.3165,41.3095,11.007,0.226522,50
199,1,2,4,4,10,107.741,86.0502,21.6907,1.83636,100
200,1,2,4,4,10,218.517,174.814,43.7035,14.9327,200
201,1,2,4,4,50,11.6706,3.49881,8.17183,0.00222204,10
202,1,2,4,4,50,52.3165,29.0776,23.2389,0.235853,50
203,1,2,4,4,50,107.741,60.9895,46.7514,1.90981,100
204,1,2,4,4,50,218.517,166.261,52.2565,15.4195,200
205,1,2,6,6,5,11.6706,5.64648,6.02416,0.0024504,10
206,1,2,6,6,5,52.3165,41.3095,11.007,0.222794,50
207,1,2,6,6,5,107.741,86.1927,21.5482,1.80118,100
208,1,2,6,6,5,218.517,174.814,43.7035,14.897,200
209,1,2,6,6,10,11.6706,3.49881,8.17183,0.0021762,10
210,1,2,6,6,10,52.3165,41.3095,11.007,0.229482,50
211,1,2,6,6,10,107.741,86.0502,21.6907,1.92109,100
212,1,2,6,6,10,218.517,174.814,43.7035,15.1523,200
213,1,2,6,6,50,11.6706,3.49881,8.17183,0.00234393,10
214,1,2,6,6,50,52.3165,24.0843,28.2322,0.241986,50
215,1,2,6,6,50,107.741,60.9895,46.7514,1.94554,100
216,1,2,6,6,50,218.517,166.261,52.2565,16.0958,200
217,2,0,2,2,5,29.2853,29.1289,0.156377,0.0762499,10
218,2,0,2,2,5,142.647,141.168,1.47935,0.380192,50
219,2,0,2,2,5,287.385,283.906,3.47979,0.75829,100
220,2,0,2,2,5,334.383,329.984,4.3989,0.802586,200
221,2,0,2,2,10,29.2853,29.196,0.0892724,0.0847928,10
222,2,0,2,2,10,142.647,141.297,1.35045,0.431924,50
223,2,0,2,2,10,287.385,284.175,3.21053,1.0519,100
224,2,0,2,2,10,334.383,330.307,4.07688,1.24744,200
225,2,0,2,2,50,29.2853,29.196,0.0892724,0.0856481,10
226,2,0,2,2,50,142.647,141.486,1.16057,0.912356,50
227,2,0,2,2,50,287.385,284.574,2.81136,1.89951,100
228,2,0,2,2,50,334.383,330.808,3.57501,2.23595,200
229,2,0,4,4,5,29.2853,29.1289,0.156377,0.0556027,10
230,2,0,4,4,5,142.647,141.168,1.47935,0.300559,50
231,2,0,4,4,5,287.385,283.906,3.47979,0.644928,100
232,2,0,4,4,5,334.383,329.984,4.3989,0.752529,200
233,2,0,4,4,10,29.2853,29.196,0.0892724,0.0857543,10
234,2,0,4,4,10,142.647,141.297,1.35045,0.438077,50
235,2,0,4,4,10,287.385,284.175,3.21053,0.921727,100
236,2,0,4,4,10,334.383,330.307,4.07688,1.05904,200
237,2,0,4,4,50,29.2853,29.196,0.0892724,0.0849913,10
238,2,0,4,4,50,142.647,141.486,1.16057,0.908832,50
239,2,0,4,4,50,287.385,284.574,2.81136,1.89504,100
240,2,0,4,4,50,334.383,330.808,3.57501,2.1552,200
241,2,0,6,6,5,29.2853,29.1289,0.156377,0.0547465,10
242,2,0,6,6,5,142.647,141.168,1.47935,0.30072,50
243,2,0,6,6,5,287.385,283.906,3.47979,0.646639,100
244,2,0,6,6,5,334.383,329.984,4.3989,0.754391,200
245,2,0,6,6,10,29.2853,29.196,0.0892724,0.0843238,10
246,2,0,6,6,10,142.647,141.297,1.35045,0.431497,50
247,2,0,6,6,10,287.385,284.175,3.21053,0.911939,100
248,2,0,6,6,10,334.383,330.307,4.07688,1.05642,200
249,2,0,6,6,50,29.2853,29.196,0.0892724,0.0842778,10
250,2,0,6,6,50,142.647,141.486,1.16057,0.905861,50
251,2,0,6,6,50,287.385,284.574,2.81136,1.88055,100
252,2,0,6,6,50,334.383,330.808,3.57501,2.2362,200
253,2,1,2,2,5,29.2853,29.1289,0.156377,0.0555351,10
254,2,1,2,2,5,142.647,141.168,1.47935,0.298514,50
255,2,1,2,2,5,287.385,283.906,3.47979,0.644182,100
256,2,1,2,2,5,334.383,329.984,4.3989,0.806181,200
257,2,1,2,2,10,29.2853,29.196,0.0892724,0.0842449,10
258,2,1,2,2,10,142.647,141.297,1.35045,0.429956,50
259,2,1,2,2,10,287.385,284.175,3.21053,0.91309,100
260,2,1,2,2,10,334.383,330.307,4.07688,1.13233,200
261,2,1,2,2,50,29.2853,29.196,0.0892724,0.084532,10
262,2,1,2,2,50,142.647,141.486,1.16057,0.899311,50
263,2,1,2,2,50,287.385,284.574,2.81136,2.02049,100
264,2,1,2,2,50,334.383,330.808,3.57501,2.29818,200
265,2,1,4,4,5,29.2853,29.1289,0.156377,0.054819,10
266,2,1,4,4,5,142.647,141.168,1.47935,0.303,50
